SITE_NAME,SUB_SITE,DATE_OBS,TIME_OBS,C_ADDED,N_ADDED,PEAT_DEPTH,PEAT_TEMP,DISS_CH4_CONC,DISS_CO2_CONC,POREWATER_PH,SITE_COMMENTS,CRTFCN_CODE,REVISION_DATE
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1451,300,0,100,15.3,.18,1336.0,6.84,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1453,0,6,0,,.04,104.0,6.85,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1453,0,6,50,16.5,.13,1167.0,6.85,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1453,0,6,200,13.1,30.98,1545.0,6.73,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1453,0,6,500,.4,,,,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1453,0,6,400,2.9,680.54,2959.0,6.31,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1453,0,6,300,7.9,460.24,2453.0,6.36,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1453,0,6,100,16.3,.31,1244.0,6.95,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1136,300,6,0,,.27,648.0,6.17,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1136,300,6,200,13.1,27.19,1146.0,6.0,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1136,300,6,300,10.4,241.89,3081.0,6.3,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1136,300,6,400,7.5,242.12,2764.0,5.98,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1136,300,6,500,5.7,242.3,2622.0,6.11,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1136,300,6,100,14.7,21.25,2048.0,6.89,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1136,300,6,50,14.6,7.89,1267.0,6.63,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
