DateTime.EST,CO2_50cm.percent,SoilMoisture_50cm.m3m3,BulkEC_50cm.dS/m,ApogeeTemp_50cm.deg.C,ApogeeTemp_150cm.deg.C,O2_50cm.percent.0-100,O2_150cm.percent.0-100,CO2_150cm.percent,SoilMoisture_25cm.m3m3,BulkEC_25cm.dS/m,PRISM_precip.mm
2016-04-05 01:00:00,2.8925,0.3215,0.027999999999999997,16.08,15.03,18.17173497,11.49772765,-99999,0.0,0.0,4.05
2016-04-05 02:00:00,2.8834999999999997,0.321,0.027999999999999997,16.07,15.03,18.171106690000002,11.49772765,-99999,0.0,0.0,4.05
2016-04-05 03:00:00,2.8795,0.321,0.027999999999999997,16.055,15.03,18.17016427,11.49772765,-99999,0.0,0.0,4.05
2016-04-05 04:00:00,2.8914999999999997,0.321,0.027999999999999997,16.03,15.03,18.219295785,11.49772765,-99999,0.0,0.0,4.05
2016-04-05 05:00:00,2.895,0.321,0.027999999999999997,16.020000000000003,15.024999999999999,18.395014355,11.49752816,-99999,0.0,0.0,4.05
2016-04-05 06:00:00,2.8905000000000003,0.321,0.027999999999999997,15.98,15.02,18.46520475,11.49732867,-99999,0.0,0.0,4.05
2016-04-05 07:00:00,2.9055,0.321,0.027999999999999997,15.96,15.02,18.59175335,11.49732867,-99999,0.0,0.0,4.05
2016-04-05 08:00:00,2.9,0.321,0.027999999999999997,15.945,15.045,18.745055855,11.50052309,-99999,0.0,0.0,4.05
2016-04-05 09:00:00,2.8945,0.321,0.027999999999999997,15.969999999999999,15.1,18.773124250000002,11.5049152,-99999,0.0,0.0,4.05
2016-04-05 10:00:00,2.8925,0.32,0.027999999999999997,16.015,15.175,18.77163753,11.503512820000001,-99999,0.0,0.0,4.05
2016-04-05 11:00:00,2.8975,0.32,0.027999999999999997,16.055,15.26,18.774234200000002,11.506904125,-99999,0.0,0.0,4.05
2016-04-05 12:00:00,2.8945,0.32,0.027999999999999997,15.95,15.2,18.765214264999997,11.5023123,-99999,0.0,0.0,0.0
2016-04-05 13:00:00,2.864,0.32,0.027999999999999997,15.93,15.184999999999999,18.76611961,11.503911800000001,-99999,0.0,0.0,0.0
2016-04-05 14:00:00,2.8625,0.32,0.027999999999999997,15.93,15.19,18.76611961,11.504111285,-99999,0.0,0.0,0.0
2016-04-05 15:00:00,2.8735,0.32,0.027999999999999997,15.955,15.175,18.763334784999998,11.50131493,-99999,0.0,0.0,0.0
2016-04-05 16:00:00,2.8735,0.32,0.027999999999999997,15.98,15.17,18.762753410000002,11.498917555,-99999,0.0,0.0,0.0
2016-04-05 17:00:00,2.8495,0.3195,0.027999999999999997,16.03,15.2,18.77261128,11.504510265,-99999,0.0,0.0,0.0
2016-04-05 18:00:00,2.855,0.319,0.027999999999999997,16.07,15.22,18.775207950000002,11.505308215,-99999,0.0,0.0,0.0
2016-04-05 19:00:00,2.8525,0.319,0.027999999999999997,16.085,15.21,18.776181700000002,11.50490924,-99999,0.0,0.0,0.0
2016-04-05 20:00:00,2.849,0.319,0.027999999999999997,16.045,15.135000000000002,18.77358503,11.50191691,-99999,0.0,0.0,0.0
2016-04-05 21:00:00,2.8609999999999998,0.319,0.027999999999999997,16.015,15.09,18.77163753,11.50012151,-99999,0.0,0.0,0.0
2016-04-05 22:00:00,2.838,0.319,0.027999999999999997,16.0,15.09,18.77507221,11.50451607,-99999,0.0,0.0,0.0
2016-04-05 23:00:00,2.8489999999999998,0.319,0.027999999999999997,15.975000000000001,15.085,18.775652899999997,11.504316504999998,-99999,0.0,0.0,0.0
2016-04-06 00:00:00,2.833,0.319,0.027999999999999997,15.96,15.075,18.781290575,11.5083117,-99999,0.0,0.0,0.0
