DateTime.EST,Depth (m),O2_pct,CO2_pct,GC_N2O_ppm,GC_CH4_ppm,GC_CO2_pct,CO2_2_0cm.pct,CO2_2_50cm.pct,CO2_2_150cm.pct,CO2_2_300cm.pct,CO2_2_500cm.pct
2016-11-07,5.0,19.2,2.21,3.611409797914694,0.1066607276956806,2.278357421111504,-99999,-99999,-99999,-99999,2.21
2016-12-01,0.0,21.1,0.04,-99999,-99999,-99999,0.04,-99999,-99999,-99999,-99999
2016-12-01,0.5,20.4,0.224,0.5812965560837542,0.6738566006873467,0.2348509004942238,-99999,0.224,-99999,-99999,-99999
2016-12-01,1.5,20.4,0.548,0.7879644504605869,0.5159754742602665,0.5947823047748113,-99999,-99999,0.548,-99999,-99999
2016-12-01,3.0,19.4,2.046,2.804566476254557,0.1286944205459759,2.017745138777557,-99999,-99999,-99999,2.046,-99999
2016-12-01,5.0,19.2,2.218,3.028824342478932,0.1367908885678774,2.19159308301101,-99999,-99999,-99999,-99999,2.218
2016-12-20,0.0,21.0,0.058,-99999,-99999,-99999,0.058,-99999,-99999,-99999,-99999
2016-12-20,0.5,20.5,0.24,0.4561788415942309,0.8069965549629521,0.2190383281630556,-99999,0.24,-99999,-99999,-99999
2016-12-20,1.5,20.4,0.494,0.7084382063592646,0.573668131517334,0.4548067267896613,-99999,-99999,0.494,-99999,-99999
2016-12-20,3.0,19.25,1.954,2.655819438110888,0.1813113971199536,1.834371909952869,-99999,-99999,-99999,1.954,-99999
2016-12-20,5.0,19.1,2.252,2.905462534683767,0.1969535260660286,2.075697554996339,-99999,-99999,-99999,-99999,2.252
2017-01-12,0.0,20.9,0.054,-99999,-99999,-99999,0.054,-99999,-99999,-99999,-99999
2017-01-12,0.5,20.3,0.274,0.9875800731360262,1.171441302330455,0.2997607457809132,-99999,0.274,-99999,-99999,-99999
2017-01-12,1.5,20.0,0.354,0.6291067089348032,1.189787841428916,0.3412696103156925,-99999,-99999,0.354,-99999,-99999
2017-01-12,3.0,18.9,1.66,2.675995459508529,0.2475620120151051,1.740553699822089,-99999,-99999,-99999,1.66,-99999
2017-01-12,5.0,18.9,1.9,2.875983331639983,0.2344573412304902,1.985113851414594,-99999,-99999,-99999,-99999,1.9
2017-02-02,0.0,20.9,0.051,-99999,-99999,-99999,0.051,-99999,-99999,-99999,-99999
2017-02-02,0.5,20.2,0.624,0.635777932526723,1.040175442075511,0.6407884686942142,-99999,0.624,-99999,-99999,-99999
2017-02-02,1.5,20.1,0.62,0.7557968606128629,0.908550684833388,0.6328960157568814,-99999,-99999,0.62,-99999,-99999
2017-02-02,3.0,19.3,1.65,3.271675950040534,0.2232877734182104,1.682570973318343,-99999,-99999,-99999,1.65,-99999
2017-02-02,5.0,19.2,1.86,3.482645118703102,0.1703664792693155,1.879903768201522,-99999,-99999,-99999,-99999,1.86
2017-02-23,0.0,20.5,0.042,-99999,-99999,-99999,0.042,-99999,-99999,-99999,-99999
2017-02-23,0.5,19.8,0.798,0.5590771586520119,1.03113433495912,1.160576526416469,-99999,0.798,-99999,-99999,-99999
2017-02-23,1.5,19.6,0.948,1.013641935045192,0.798811174003652,0.9566522120715524,-99999,-99999,0.948,-99999,-99999
2017-02-23,3.0,19.0,1.58,3.278494912466501,0.2225972324248347,1.638975375306944,-99999,-99999,-99999,1.58,-99999
2017-02-23,5.0,19.2,1.75,3.381219939557613,0.2501609972839581,1.810010324877537,-99999,-99999,-99999,-99999,1.75
2017-03-22,0.0,20.6,0.052,-99999,-99999,-99999,0.052,-99999,-99999,-99999,-99999
2017-03-22,0.5,19.8,1.081,0.5994829658486559,0.5435392977558606,1.004217520735514,-99999,1.081,-99999,-99999,-99999
2017-03-22,1.5,19.9,0.918,0.778057343049701,0.5491728216927387,0.8907462626008132,-99999,-99999,0.918,-99999,-99999
2017-03-22,3.0,19.3,1.682,3.151264549134324,0.0759568109949798,1.651667539691591,-99999,-99999,-99999,1.682,-99999
2017-03-22,5.0,19.3,1.802,3.278688934447119,0.0759568109949798,1.803489723142461,-99999,-99999,-99999,-99999,1.802
2017-04-13,0.0,20.6,0.046,-99999,-99999,-99999,0.046,-99999,-99999,-99999,-99999
2017-04-13,0.5,19.8,1.5,0.6913900810056645,1.00881614232063,1.425314863357567,-99999,1.5,-99999,-99999,-99999
